time	index_num	index_size	l0_buffer_num
0	0	0
7	1	1	0
14	2	1	0
21	2	2	0
28	2	3	0
36	2	4	0
45	3	4	0
54	3	4	0
64	3	4	0
72	3	4	0
83	3	4	0
91	2	6	0
99	2	7	0
108	3	7	0
118	3	7	0
128	3	7	0
137	3	7	0
147	3	7	0
156	3	7	0
166	3	7	0
176	3	7	0
186	3	7	0
196	2	10	1
204	2	11	1
213	3	11	1
221	3	11	1
230	3	11	0
240	3	11	0
250	3	11	0
259	3	11	0
269	3	11	0
279	3	11	0
288	3	11	0
298	3	11	0
308	3	11	0
318	3	11	0
328	3	11	0
337	3	11	0
347	3	11	0
358	2	16	1
368	2	17	1
378	3	17	1
389	3	17	1
398	3	17	0
408	3	17	0
417	3	17	0
428	3	17	0
437	3	17	0
446	3	17	0
457	3	17	0
467	3	17	0
477	3	17	0
487	3	17	0
496	3	17	0
506	3	17	0
516	3	17	0
527	3	17	0
537	3	17	0
547	3	17	0
557	3	17	0
567	3	17	0
576	3	17	0
586	3	17	0
595	2	23	1
606	2	24	1
615	3	24	1
625	3	24	1
636	3	24	1
646	3	24	1
655	3	24	1
665	3	24	1
675	3	24	1
685	3	24	0
694	3	24	0
704	3	24	0
714	3	24	0
724	3	24	0
734	3	24	0
743	3	24	0
753	3	24	0
762	3	24	0
772	3	24	0
782	3	24	0
792	3	24	0
802	3	24	0
811	3	24	0
821	3	24	0
831	3	24	0
841	3	24	0
851	3	24	0
861	3	24	0
872	3	24	0
882	3	24	0
893	3	24	0
903	3	24	0
913	3	24	0
923	3	24	0
932	3	24	0
942	2	34	1
952	2	35	1
962	3	35	1
972	3	35	1
981	3	35	1
991	3	35	1
1001	3	35	1
1011	3	35	1
1021	3	35	1
1031	3	35	1
1041	3	35	1
1051	3	35	1
1061	3	35	1
1071	3	35	1
1082	3	35	0
1091	3	35	0
1101	3	35	0
1110	3	35	0
1121	3	35	0
1131	3	35	0
1141	3	35	0
1151	3	35	0
1161	3	35	0
1172	3	35	0
1182	3	35	0
1192	3	35	0
1202	3	35	0
1213	3	35	0
1224	3	35	0
1234	3	35	0
1244	3	35	0
1255	3	35	0
1264	3	35	0
1274	3	35	0
1285	3	35	0
1295	3	35	0
1305	3	35	0
1315	3	35	0
1325	3	35	0
1336	3	35	0
1347	3	35	0
1357	3	35	0
1367	3	35	0
1377	3	35	0
1388	3	35	0
1398	3	35	0
1408	3	35	0
1418	3	35	0
1429	3	35	0
1439	2	48	1
1450	2	49	1
1461	3	49	1
1472	3	49	1
1483	3	49	1
1494	3	49	1
1505	3	49	1
1516	3	49	1
1525	3	49	1
1536	3	49	1
1545	3	49	1
1555	3	49	1
1565	3	49	1
1576	3	49	1
1586	3	49	1
1596	3	49	1
1607	3	49	1
1618	3	49	1
1627	3	49	0
1637	3	49	0
1647	3	49	0
1656	3	49	0
1665	3	49	0
1675	3	49	0
1685	3	49	0
1694	3	49	0
1704	3	49	0
1714	3	49	0
1724	3	49	0
1734	3	49	0
1744	3	49	0
1754	3	49	0
1763	3	49	0
1773	3	49	0
1782	3	49	0
1791	3	49	0
1801	3	49	0
1810	3	49	0
1820	3	49	0
1830	3	49	0
1841	3	49	0
1851	3	49	0
1861	3	49	0
1872	3	49	0
1881	3	49	0
1892	3	49	0
1902	3	49	0
1911	3	49	0
1921	3	49	0
1931	3	49	0
1941	3	49	0
1950	3	49	0
1959	3	49	0
1970	3	49	0
1980	3	49	0
1991	3	49	0
2002	3	49	0
2012	3	49	0
2023	3	49	0
2034	3	49	0
2044	3	49	0
2055	3	49	0
2065	3	49	0
2074	3	49	0
2084	3	49	0
2095	3	49	0
2104	3	49	0
2115	3	49	0
2125	3	49	0
2135	2	68	1
2146	2	69	1
2158	3	69	1
2170	3	69	1
2181	3	69	1
2193	3	69	1
2205	3	69	1
2217	3	69	1
2228	3	69	1
2240	3	69	1
2252	3	69	1
2262	3	69	1
2273	3	69	1
2283	3	69	1
2294	3	69	1
2304	3	69	1
2314	3	69	1
2324	3	69	1
2334	3	69	1
2344	3	69	1
2354	3	69	1
2363	3	69	0
2373	3	69	0
2383	3	69	0
2393	3	69	0
2403	3	69	0
2413	3	69	0
2423	3	69	0
2433	3	69	0
2443	3	69	0
2452	3	69	0
2461	3	69	0
2472	3	69	0
2482	3	69	0
2492	3	69	0
2502	3	69	0
2512	3	69	0
2522	3	69	0
2531	3	69	0
2542	3	69	0
2551	3	69	0
2561	3	69	0
2571	3	69	0
2582	3	69	0
2592	3	69	0
2601	3	69	0
2611	3	69	0
2621	3	69	0
2631	3	69	0
2642	3	69	0
2652	3	69	0
2662	3	69	0
2673	3	69	0
2684	3	69	0
2695	3	69	0
2705	3	69	0
2716	3	69	0
2726	3	69	0
2737	3	69	0
2747	3	69	0
2757	3	69	0
2768	3	69	0
2778	3	69	0
2789	3	69	0
2798	3	69	0
2808	3	69	0
2817	3	69	0
2828	3	69	0
2838	3	69	0
2848	3	69	0
2859	3	69	0
2870	3	69	0
2882	3	69	0
2892	3	69	0
2902	3	69	0
2912	3	69	0
2923	3	69	0
2934	3	69	0
2944	3	69	0
2955	3	69	0
2966	3	69	0
2976	3	69	0
2986	3	69	0
2996	3	69	0
3007	3	69	0
3017	3	69	0
3027	3	69	0
3037	3	69	0
3047	3	69	0
3057	3	69	0
3068	3	69	0
3077	3	69	0
3088	3	69	0
3098	2	92	1
3109	2	93	1
3119	3	93	1
3129	3	93	1
3140	3	93	1
3150	3	93	1
3159	3	93	1
3169	3	93	1
3179	3	93	1
3190	3	93	1
3200	3	93	1
3210	3	93	1
3220	3	93	1
3230	3	93	1
3240	3	93	1
3250	3	93	1
3261	3	93	1
3271	3	93	1
3281	3	93	1
3292	3	93	1
3302	3	93	1
3312	3	93	1
3323	3	93	1
3333	3	93	1
3343	3	93	1
3354	3	93	1
3365	3	93	1
3375	3	93	0
3384	3	93	0
3394	3	93	0
3404	3	93	0
3414	3	93	0
3424	3	93	0
3434	3	93	0
3443	3	93	0
3454	3	93	0
3464	3	93	0
3473	3	93	0
3483	3	93	0
3492	3	93	0
3501	3	93	0
3511	3	93	0
3522	3	93	0
3531	3	93	0
3541	3	93	0
3551	3	93	0
3561	3	93	0
3571	3	93	0
3580	3	93	0
3589	3	93	0
3599	3	93	0
3609	3	93	0
3618	3	93	0
3628	3	93	0
3638	3	93	0
3647	3	93	0
3657	3	93	0
3667	3	93	0
3676	3	93	0
3686	3	93	0
3695	3	93	0
3705	3	93	0
3715	3	93	0
3724	3	93	0
3734	3	93	0
3744	3	93	0
3753	3	93	0
3763	3	93	0
3772	3	93	0
3783	3	93	0
3793	3	93	0
3802	3	93	0
3812	3	93	0
3823	3	93	0
3833	3	93	0
3844	3	93	0
3855	3	93	0
3865	3	93	0
3875	3	93	0
3885	3	93	0
3895	3	93	0
3905	3	93	0
